nse_symbol,isin,bse_id,name,sector
ASTRAMICRO,INE386C01029,532493,Astra Microwave, Defense
PARAS,INE045601015,543367,Paras Defense, Defense
ZENTEC,INE251B01027,533339,Zen Tech, Defense
DLF,INE271C01023,532868,DLF,Construction
BRIGADE,INE791I01019,532929,Brigade Enterprises,Construction
PRESTIGE,INE811K01011,533274,Prestige Estates,Construction
GODREJPROP,INE484J01027,533150,Godrej Properties,Construction
OBEROIRLTY,INE093I01010,533273,Oberoi Realty,Construction
LODHA,INE670K01029,543287,Macrotech Developers,Construction
HINDZINC,INE267A01025,500188,Hindustan Zinc,Metals
GODREJCP,INE102D01028,532424,Godrej Consumer Products,Household & Personal Products
DABUR,INE016A01026,500096,Dabur India,Household & Personal Products
COLPAL,INE259A01022,500830,Colgate Palmolive,Household & Personal Products
HINDUNILVR,INE030A01027,500696,Hindustan Unilever,Household & Personal Products
OIL,INE274J01014,533106,Oil India,Oil Exploration and Production
MAZDOCK,INE249Z01012,543237,Mazagon Dock Shipbuilders,Ship Building
